batch i:649, episode_len:17
batch i:650, episode_len:25
batch i:651, episode_len:33
batch i:652, episode_len:19
batch i:653, episode_len:12
batch i:654, episode_len:25
batch i:655, episode_len:22
batch i:656, episode_len:32
batch i:657, episode_len:9
batch i:658, episode_len:23
batch i:659, episode_len:20
batch i:660, episode_len:12
batch i:661, episode_len:19
batch i:662, episode_len:13
batch i:663, episode_len:23
batch i:664, episode_len:16
batch i:665, episode_len:17
batch i:666, episode_len:25
batch i:667, episode_len:23
batch i:668, episode_len:10
batch i:669, episode_len:12
batch i:670, episode_len:14
batch i:671, episode_len:29
batch i:672, episode_len:22
batch i:673, episode_len:19
batch i:674, episode_len:23
batch i:675, episode_len:32
batch i:676, episode_len:9
batch i:677, episode_len:9
batch i:678, episode_len:12
batch i:679, episode_len:18
batch i:680, episode_len:13
batch i:681, episode_len:27
batch i:682, episode_len:14
batch i:683, episode_len:16
batch i:684, episode_len:10
batch i:685, episode_len:11
batch i:686, episode_len:11
batch i:687, episode_len:20
batch i:688, episode_len:10
batch i:689, episode_len:22
batch i:690, episode_len:17
batch i:691, episode_len:20
batch i:692, episode_len:26
batch i:693, episode_len:21
batch i:694, episode_len:19
batch i:695, episode_len:20
batch i:696, episode_len:16
batch i:697, episode_len:11
batch i:698, episode_len:27
batch i:699, episode_len:17
batch i:700, episode_len:16
batch i:701, episode_len:14
batch i:702, episode_len:10
batch i:703, episode_len:16
batch i:704, episode_len:30
batch i:705, episode_len:11
batch i:706, episode_len:29
batch i:707, episode_len:16
batch i:708, episode_len:15
batch i:709, episode_len:18
batch i:710, episode_len:35
batch i:711, episode_len:12
batch i:712, episode_len:15
batch i:713, episode_len:17
batch i:714, episode_len:24
batch i:715, episode_len:26
batch i:716, episode_len:15
batch i:717, episode_len:11
batch i:718, episode_len:9
batch i:719, episode_len:23
batch i:720, episode_len:16
batch i:721, episode_len:26
batch i:722, episode_len:25
batch i:723, episode_len:16
batch i:724, episode_len:11
batch i:725, episode_len:28
batch i:726, episode_len:14
batch i:727, episode_len:19
batch i:728, episode_len:20
batch i:729, episode_len:11
