batch i:584, episode_len:13
batch i:585, episode_len:15
batch i:586, episode_len:15
batch i:587, episode_len:23
batch i:588, episode_len:17
batch i:589, episode_len:22
batch i:590, episode_len:19
batch i:591, episode_len:13
batch i:592, episode_len:16
batch i:593, episode_len:19
batch i:594, episode_len:12
batch i:595, episode_len:12
batch i:596, episode_len:13
batch i:597, episode_len:19
batch i:598, episode_len:34
batch i:599, episode_len:24
batch i:600, episode_len:27
batch i:601, episode_len:16
batch i:602, episode_len:19
batch i:603, episode_len:29
batch i:604, episode_len:22
batch i:605, episode_len:18
batch i:606, episode_len:22
batch i:607, episode_len:40
batch i:608, episode_len:17
batch i:609, episode_len:11
batch i:610, episode_len:21
batch i:611, episode_len:14
batch i:612, episode_len:16
batch i:613, episode_len:11
batch i:614, episode_len:17
batch i:615, episode_len:31
batch i:616, episode_len:15
batch i:617, episode_len:14
batch i:618, episode_len:20
batch i:619, episode_len:12
batch i:620, episode_len:22
batch i:621, episode_len:15
batch i:622, episode_len:36
batch i:623, episode_len:11
batch i:624, episode_len:12
batch i:625, episode_len:13
batch i:626, episode_len:23
batch i:627, episode_len:11
batch i:628, episode_len:33
batch i:629, episode_len:16
batch i:630, episode_len:19
batch i:631, episode_len:19
batch i:632, episode_len:29
batch i:633, episode_len:15
batch i:634, episode_len:11
batch i:635, episode_len:16
batch i:636, episode_len:11
batch i:637, episode_len:28
batch i:638, episode_len:31
batch i:639, episode_len:32
batch i:640, episode_len:20
batch i:641, episode_len:15
batch i:642, episode_len:13
batch i:643, episode_len:19
batch i:644, episode_len:25
batch i:645, episode_len:25
batch i:646, episode_len:52
batch i:647, episode_len:27
batch i:648, episode_len:17
batch i:649, episode_len:21
batch i:650, episode_len:15
batch i:651, episode_len:12
batch i:652, episode_len:18
batch i:653, episode_len:16
batch i:654, episode_len:29
batch i:655, episode_len:14
batch i:656, episode_len:19
batch i:657, episode_len:16
batch i:658, episode_len:21
batch i:659, episode_len:20
batch i:660, episode_len:15
batch i:661, episode_len:18
batch i:662, episode_len:12
batch i:663, episode_len:15
batch i:664, episode_len:12
batch i:665, episode_len:27
batch i:666, episode_len:12
batch i:667, episode_len:18
batch i:668, episode_len:15
batch i:669, episode_len:26
batch i:670, episode_len:21
batch i:671, episode_len:15
batch i:672, episode_len:18
batch i:673, episode_len:9
batch i:674, episode_len:11
batch i:675, episode_len:22
batch i:676, episode_len:20
batch i:677, episode_len:14
batch i:678, episode_len:11
batch i:679, episode_len:31
batch i:680, episode_len:26
batch i:681, episode_len:10
batch i:682, episode_len:19
batch i:683, episode_len:30
batch i:684, episode_len:18
batch i:685, episode_len:25
batch i:686, episode_len:20
batch i:687, episode_len:11
batch i:688, episode_len:30
batch i:689, episode_len:28
batch i:690, episode_len:14
batch i:691, episode_len:17
batch i:692, episode_len:11
batch i:693, episode_len:23
batch i:694, episode_len:17
batch i:695, episode_len:10
batch i:696, episode_len:11
batch i:697, episode_len:27
batch i:698, episode_len:25
batch i:699, episode_len:17
batch i:700, episode_len:20
batch i:701, episode_len:18
batch i:702, episode_len:18
batch i:703, episode_len:13
batch i:704, episode_len:11
batch i:705, episode_len:15
batch i:706, episode_len:17
batch i:707, episode_len:21
batch i:708, episode_len:14
batch i:709, episode_len:11
batch i:710, episode_len:21
batch i:711, episode_len:14
batch i:712, episode_len:15
batch i:713, episode_len:22
batch i:714, episode_len:24
batch i:715, episode_len:21
batch i:716, episode_len:15
batch i:717, episode_len:16
batch i:718, episode_len:21
batch i:719, episode_len:17
batch i:720, episode_len:26
batch i:721, episode_len:46
batch i:722, episode_len:19
batch i:723, episode_len:22
batch i:724, episode_len:19
batch i:725, episode_len:12
batch i:726, episode_len:18
batch i:727, episode_len:20
batch i:728, episode_len:32
batch i:729, episode_len:41
batch i:730, episode_len:13
batch i:731, episode_len:11
batch i:732, episode_len:32
batch i:733, episode_len:34
batch i:734, episode_len:30
batch i:735, episode_len:13
batch i:736, episode_len:18
batch i:737, episode_len:13
batch i:738, episode_len:18
batch i:739, episode_len:12
batch i:740, episode_len:34
